"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
3495,4,1,3,1,1,"Queens",40.68939,-73.8519,1,2,36,2,28,4.66,0,4.79,0,0,1,0,0,0,0,1,0,3.58351893845611
3803,4,0,2,1,1,"Brooklyn",40.68425,-73.96465,1,1,55,90,365,4.82,0,0.17,0,0,1,0,0,1,0,0,0,4.00733318523247
3585,4,1,4,1,1,"Manhattan",40.78907,-73.9688,2,7,500,5,62,4.77,1,2.18,1,0,0,0,0,0,1,0,0,6.21460809842219
3841,2,0,4,1,1,"Manhattan",40.70948,-74.01564,0,1,55,1,338,4.62,0,2.37,0,0,0,1,0,0,1,0,0,4.00733318523247
3771,0,0,0,1,0,"Brooklyn",40.68489,-73.97167,1,2,92,30,0,5,0,0.03,0,0,1,0,0,1,0,0,0,4.52178857704904
3495,1,0,1,1,1,"Manhattan",40.74749,-73.97218,1,1,151,30,288,4.54,0,0.37,0,0,1,0,0,0,1,0,0,5.01727983681492
3492,0,0,1,1,0,"Manhattan",40.76375,-73.98242,1,4,250,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.52146091786225
3492,3,0,3,1,0,"Manhattan",40.80581,-73.95569,1,3,164,30,61,4.58,0,0.54,1,0,0,0,0,0,1,0,0,5.0998664278242
3851,0,0,3,1,1,"Brooklyn",40.70979,-73.92209,1,1,72,30,0,4.87,0,1.6,0,0,1,0,0,1,0,0,0,4.27666611901606
3492,3,1,1,1,1,"Manhattan",40.71632,-74.01077,1,2,192,30,100,4.83,0,0.23,1,0,0,0,0,0,1,0,0,5.25749537202778
4202,4,0,3,1,1,"Brooklyn",40.65938,-73.95117,1,1,44,5,149,4.42,1,0.77,0,0,1,0,0,1,0,0,0,3.78418963391826
3574,0,0,1,1,1,"Manhattan",40.72368,-73.99422,1,4,225,30,0,4.9,0,0.1,1,0,0,0,0,0,1,0,0,5.41610040220442
3606,0,0,1,1,1,"Manhattan",40.78322,-73.95005,1,4,199,2,0,4,0,0.02,1,0,0,0,0,0,1,0,0,5.29330482472449
3489,3,0,1,1,1,"Manhattan",40.77652,-73.97792,1,2,175,30,228,4.77,1,2.91,1,0,0,0,0,0,1,0,0,5.16478597392351
3506,2,1,1,1,0,"Manhattan",40.82361,-73.94583,1,1,55,30,296,5,0,0.01,0,0,1,0,0,0,1,0,0,4.00733318523247
4018,0,0,1,1,1,"Manhattan",40.73319,-73.9887,1,3,199,30,0,5,0,0.04,1,0,0,0,0,0,1,0,0,5.29330482472449
3493,3,0,1,1,1,"Brooklyn",40.67164,-73.95175,1,3,95,30,263,4.64,1,1.61,1,0,0,0,0,1,0,0,0,4.55387689160054
3487,0,0,1,1,1,"Brooklyn",40.67627,-73.98157,1,4,179,30,0,4.53,0,0.15,1,0,0,0,0,1,0,0,0,5.18738580584075
4066,3,0,2,1,1,"Brooklyn",40.68762,-73.97168,2,4,330,60,171,4.88,0,1.5,1,0,0,0,0,1,0,0,0,5.79909265446053
3858,3,1,3,1,1,"Brooklyn",40.71912,-73.95743,1,1,50,5,0,4.92,1,0.25,0,0,1,0,0,1,0,0,0,3.91202300542815
3577,4,0,6,1,1,"Brooklyn",40.69088,-73.94568,1,2,81,1,276,4.11,0,0.25,0,0,1,0,0,1,0,0,0,4.39444915467244
3577,4,0,6,1,1,"Brooklyn",40.69141,-73.94652,1,2,82,7,276,4.18,0,0.32,0,0,1,0,0,1,0,0,0,4.40671924726425
3499,3,0,3,1,1,"Manhattan",40.80336,-73.94669,1.5,2,76,30,124,4.68,0,0.21,0,0,1,0,0,0,1,0,0,4.33073334028633
3772,0,0,1,1,1,"Manhattan",40.81812,-73.94355,1,4,140,30,0,0,0,0,0,0,1,0,0,0,1,0,0,4.9416424226093
3485,0,0,1,1,1,"Brooklyn",40.71284,-73.94041,1,2,115,30,0,5,1,0.03,1,0,0,0,0,1,0,0,0,4.74493212836325
3484,3,0,1,1,0,"Manhattan",40.82486,-73.94378,1,2,80,2,321,4.31,0,1.5,0,0,1,0,0,0,1,0,0,4.38202663467388
3607,0,0,1,1,1,"Brooklyn",40.69251,-73.92257,1,2,69,30,0,4.73,0,3.59,1,0,0,0,0,1,0,0,0,4.23410650459726
3483,4,1,2,1,1,"Brooklyn",40.71609,-73.94144,1,2,199,3,206,4.92,0,2.52,1,0,0,0,0,1,0,0,0,5.29330482472449
