"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4660,2,0,1,1,1,1,2,2,266,4.8,0,1.3,0,0,1,0,0,0,0,0,1,4.24849524204936
4658,0,1,1,1,1,1,2,30,123,5,0,0.07,1,0,0,0,0,0,1,0,0,5.22035582507832
4655,4,0,2,1,1,1,6,30,277,4.85,0,0.41,1,0,0,0,0,0,1,0,0,5.55682806169954
4664,4,0,2,1,1,1,2,30,335,4.69,0,1.63,0,0,1,0,0,1,0,0,0,4.70048036579242
4653,1,0,3,1,1,1,2,30,132,4.75,0,0.61,1,0,0,0,0,0,1,0,0,5.13579843705026
4648,3,0,1,1,1,1,2,30,122,4.64,0,0.88,1,0,0,0,0,1,0,0,0,4.64439089914137
4644,0,0,1,1,0,1,4,30,0,4.78,0,0.4,1,0,0,0,0,0,1,0,0,4.60517018598809
4867,4,1,3,1,1,1.5,2,2,153,4.9,1,2.22,0,0,1,0,0,1,0,0,0,4.17438726989564
4642,4,1,5,1,1,2.5,16,30,358,4.42,0,0.1,1,0,0,0,0,0,0,1,0,5.97888576490112
4642,0,0,1,1,0,1,1,30,83,0,1,0,0,0,1,0,1,0,0,0,0,4.0943445622221
4300,3,0,0,1,1,1,2,31,145,4.66,0,0.96,0,0,1,0,0,0,1,0,0,4.31748811353631
4636,4,0,0,1,1,1,2,3,267,4.7,0,0.41,0,0,1,0,0,1,0,0,0,4.78749174278205
4990,3,0,5,1,1,2,3,30,155,4.36,0,0.17,0,0,1,0,0,1,0,0,0,4.49980967033027
5167,3,0,3,1,1,1,4,5,265,4.83,0,1.52,1,0,0,0,0,1,0,0,0,5.08759633523238
4612,0,0,2,1,1,1,1,14,0,0,0,0,0,0,1,0,0,0,1,0,0,4.86753445045558
5028,3,0,4,1,1,1,2,30,328,4.42,0,0.37,0,0,1,0,0,0,0,1,0,4.17438726989564
4604,4,1,1,1,1,1,4,4,38,4.97,0,0.22,1,0,0,0,0,0,0,1,0,5.01063529409626
4642,4,1,5,1,1,1,4,30,339,4.34,0,0.23,1,0,0,0,0,0,0,1,0,4.67282883446191
4642,4,1,5,1,1,1,7,30,358,4,0,0.05,1,0,0,0,0,0,0,1,0,5.26269018890489
4642,4,1,5,1,1,2,12,30,317,4.71,0,0.12,1,0,0,0,0,0,0,1,0,5.85793315448346
